wordle_date,tot_results,pct1,pct2,pct3,pct4,pct5,pct6,pctX,n1,n2,n3,n4,n5,n6,nX,weighted_daily_avg
2022-03-31,135219,0,2,9,26,32,24,8,0,0.04,0.27,1.04,1.6,1.44,0.56,4.95
2022-03-30,158139,0,5,16,24,27,21,6,0,0.1,0.48,0.96,1.35,1.26,0.42,4.57
2022-03-29,149070,0,3,17,30,28,17,4,0,0.06,0.51,1.2,1.4,1.02,0.28,4.47
2022-03-28,173696,1,6,17,22,20,21,14,0.01,0.12,0.51,0.88,1,1.26,0.98,4.76
2022-03-27,165468,1,2,18,44,26,9,1,0.01,0.04,0.54,1.76,1.3,0.54,0.07,4.26
2022-03-26,149507,0,2,13,31,33,18,3,0,0.04,0.39,1.24,1.65,1.08,0.21,4.61
2022-03-25,150197,0,5,29,36,20,7,1,0,0.1,0.87,1.44,1,0.42,0.07,3.9
2022-03-24,169066,1,14,35,31,14,5,1,0.01,0.28,1.05,1.24,0.7,0.3,0.07,3.65
2022-03-23,156785,1,4,22,35,26,11,2,0.01,0.08,0.66,1.4,1.3,0.66,0.14,4.25
2022-03-22,160161,0,2,19,36,27,13,2,0,0.04,0.57,1.44,1.35,0.78,0.14,4.32
2022-03-21,173636,2,14,36,30,13,4,0,0.02,0.28,1.08,1.2,0.65,0.24,0,3.47
2022-03-20,154987,0,4,20,33,27,13,2,0,0.08,0.6,1.32,1.35,0.78,0.14,4.27
2022-03-19,156311,0,5,21,32,26,14,3,0,0.1,0.63,1.28,1.3,0.84,0.21,4.36
2022-03-18,179830,1,8,31,34,19,6,1,0.01,0.16,0.93,1.36,0.95,0.36,0.07,3.84
2022-03-17,169071,1,5,18,30,26,16,3,0.01,0.1,0.54,1.2,1.3,0.96,0.21,4.32
2022-03-16,217856,1,7,19,22,19,18,15,0.01,0.14,0.57,0.88,0.95,1.08,1.05,4.68
2022-03-15,202855,1,16,32,30,16,6,1,0.01,0.32,0.96,1.2,0.8,0.36,0.07,3.72
2022-03-14,185406,0,5,19,33,28,13,2,0,0.1,0.57,1.32,1.4,0.78,0.14,4.31
2022-03-13,179436,1,4,23,36,24,10,1,0.01,0.08,0.69,1.44,1.2,0.6,0.07,4.09
2022-03-12,192049,1,7,29,35,20,7,1,0.01,0.14,0.87,1.4,1,0.42,0.07,3.91
2022-03-11,226349,1,6,14,18,17,24,20,0.01,0.12,0.42,0.72,0.85,1.44,1.4,4.96
2022-03-10,208884,0,8,31,34,19,7,1,0,0.16,0.93,1.36,0.95,0.42,0.07,3.89
2022-03-09,201799,1,5,26,37,22,8,1,0.01,0.1,0.78,1.48,1.1,0.48,0.07,4.02
2022-03-08,207473,1,5,18,31,28,15,2,0.01,0.1,0.54,1.24,1.4,0.9,0.14,4.33
2022-03-07,218595,1,9,30,34,19,7,1,0.01,0.18,0.9,1.36,0.95,0.42,0.07,3.89
2022-03-06,218595,1,8,33,34,17,7,1,0.01,0.16,0.99,1.36,0.85,0.42,0.07,3.86
2022-03-05,229895,1,9,25,29,22,12,3,0.01,0.18,0.75,1.16,1.1,0.72,0.21,4.13
2022-03-04,203730,1,5,20,35,26,12,2,0.01,0.1,0.6,1.4,1.3,0.72,0.14,4.27
2022-03-03,240018,1,8,29,34,19,8,1,0.01,0.16,0.87,1.36,0.95,0.48,0.07,3.9
2022-03-02,257304,1,7,26,31,21,11,2,0.01,0.14,0.78,1.24,1.05,0.66,0.14,4.02
2022-03-01,240137,1,2,17,35,30,13,2,0.01,0.04,0.51,1.4,1.5,0.78,0.14,4.38
